Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
North Carolina Senate - Burr vs. Ross,Gravis,"Ross 48, Burr 39",Ross +9,2016-09-26,2016
Louisiana Senate - Open Primary,JMC Analytics*,"Boustany 15, Kennedy 11, Campbell 15, Fayard 12, Fleming 14",Tie,2016-09-26,2016
North Carolina Senate - Burr vs. Ross,High Point*,"Ross 43, Burr 45",Burr +2,2016-09-26,2016
North Carolina Senate - Burr vs. Ross,Gravis,"Burr 39, Ross 48",Ross +9,2016-09-26,2016
North Carolina Senate - Burr vs. Ross,High Point*,"Burr 45, Ross 43",Burr +2,2016-09-26,2016
Iowa Senate - Grassley vs. Judge,Loras,"Grassley 54, Judge 37",Grassley +17,2016-09-26,2016
Pennsylvania Senate - Toomey vs. McGinty,Mercyhurst,"McGinty 42, Toomey 43",Toomey +1,2016-09-26,2016
Pennsylvania Senate - Toomey vs. McGinty,Harper (R)*,"McGinty 42, Toomey 42",Tie,2016-09-26,2016
Pennsylvania Senate - Toomey vs. McGinty,Gravis,"McGinty 43, Toomey 39",McGinty +4,2016-09-26,2016
Pennsylvania Senate - Toomey vs. McGinty,CNN/ORC,"McGinty 49, Toomey 46",McGinty +3,2016-09-26,2016
Colorado Senate - Glenn vs. Bennet,CNN/ORC,"Bennet 53, Glenn 43",Bennet +10,2016-09-26,2016
California Senate - Harris vs. Sanchez,KABC/SurveyUSA,"Harris 40, Sanchez 29",Harris +11,2016-09-29,2016
Florida Senate - Rubio vs. Murphy,FOX 13/Opinion Savvy,"Rubio 47, Murphy 43",Rubio +4,2016-09-30,2016
New Hampshire Senate - Ayotte vs. Hassan,WBUR/MassINC,"Ayotte 46, Hassan 48",Hassan +2,2016-09-30,2016
Nevada Senate - Heck vs. Cortez Masto,Suffolk*,"Heck 38, Cortez Masto 35",Heck +3,2016-09-30,2016
Nevada Senate - Heck vs. Cortez Masto,Las Vegas Review-Journal,"Heck 47, Cortez Masto 45",Heck +2,2016-10-02,2016
Colorado Senate - Glenn vs. Bennet,Monmouth*,"Bennet 53, Glenn 35",Bennet +18,2016-10-03,2016
North Carolina Senate - Burr vs. Ross,Bloomberg,"Burr 44, Ross 46",Ross +2,2016-10-03,2016
Florida Senate - Rubio vs. Murphy,Mason-Dixon*,"Rubio 47, Murphy 40",Rubio +7,2016-10-03,2016
Nevada Senate - Heck vs. Cortez Masto,UNLV/Hart Research (D),"Heck 47, Cortez Masto 46",Heck +1,2016-10-04,2016
Pennsylvania Senate - Toomey vs. McGinty,Monmouth*,"McGinty 46, Toomey 46",Tie,2016-10-04,2016
Pennsylvania Senate - Toomey vs. McGinty,Franklin & Marshall*,"McGinty 41, Toomey 35",McGinty +6,2016-10-04,2016
North Carolina Senate - Burr vs. Ross,Elon*,"Burr 43, Ross 44",Ross +1,2016-10-04,2016
Illinois Senate - Kirk vs. Duckworth,The Simon Poll/SIU*,"Duckworth 48, Kirk 34",Duckworth +14,2016-10-04,2016
Florida Senate - Rubio vs. Murphy,Quinnipiac,"Rubio 48, Murphy 44",Rubio +4,2016-10-05,2016
Pennsylvania Senate - Toomey vs. McGinty,Quinnipiac,"McGinty 42, Toomey 50",Toomey +8,2016-10-05,2016
Ohio Senate - Portman vs. Strickland,Monmouth,"Portman 54, Strickland 39",Portman +15,2016-10-05,2016
North Carolina Senate - Burr vs. Ross,Quinnipiac,"Burr 46, Ross 46",Tie,2016-10-05,2016
North Carolina Senate - Burr vs. Ross,WRAL-TV/SurveyUSA*,"Burr 46, Ross 44",Burr +2,2016-10-05,2016
Ohio Senate - Portman vs. Strickland,Quinnipiac,"Portman 55, Strickland 38",Portman +17,2016-10-05,2016
Maryland Senate - Szeliga vs. Van Hollen,Wash Post/Univ. of Maryland*,"Van Hollen 58, Szeliga 29",Van Hollen +29,2016-10-06,2016
Arizona Senate - McCain vs. Kirkpatrick,Emerson,"McCain 52, Kirkpatrick 36",McCain +16,2016-10-06,2016
Florida Senate - Rubio vs. Murphy,Emerson,"Rubio 47, Murphy 39",Rubio +8,2016-10-06,2016
Ohio Senate - Portman vs. Strickland,PPP (D),"Portman 51, Strickland 36",Portman +15,2016-10-06,2016
New Hampshire Senate - Ayotte vs. Hassan,Boston Globe/Suffolk*,"Ayotte 47, Hassan 41",Ayotte +6,2016-10-06,2016
Nevada Senate - Heck vs. Cortez Masto,Emerson,"Heck 45, Cortez Masto 41",Heck +4,2016-10-06,2016
Indiana Senate - Young vs. Bayh,WTHR/Howey Politics*,"Bayh 42, Young 41",Bayh +1,2016-10-07,2016
Florida Senate - Rubio vs. Murphy,Gravis,"Rubio 44, Murphy 40",Rubio +4,2016-10-07,2016
Wisconsin Senate - Johnson vs. Feingold,Gravis,"Feingold 53, Johnson 41",Feingold +12,2016-10-07,2016
Alaska Senate - Murkowski vs. Metcalfe vs. Miller vs. Stock,Moore Info. (R)*,"Murkowski 49, Miller 16, Metcalfe 9, Stock 8",Murkowski +33,2016-10-08,2016
Oregon Senate - Wyden vs. Callahan,Gravis,"Wyden 52, Callahan 33",Wyden +19,2016-10-08,2016
Colorado Senate - Glenn vs. Bennet,Gravis,"Bennet 47, Glenn 39",Bennet +8,2016-10-08,2016
Wisconsin Senate - Johnson vs. Feingold,CBS News/YouGov,"Feingold 45, Johnson 42",Feingold +3,2016-10-09,2016
Pennsylvania Senate - Toomey vs. McGinty,NBC/WSJ/Marist,"McGinty 48, Toomey 44",McGinty +4,2016-10-09,2016
Pennsylvania Senate - Toomey vs. McGinty,CBS News/YouGov,"McGinty 42, Toomey 42",Tie,2016-10-09,2016
Ohio Senate - Portman vs. Strickland,CBS News/YouGov,"Portman 49, Strickland 38",Portman +11,2016-10-09,2016
Florida Senate - Rubio vs. Murphy,NBC/WSJ/Marist,"Rubio 48, Murphy 46",Rubio +2,2016-10-09,2016
North Carolina Senate - Burr vs. Ross,High Point*,"Burr 47, Ross 42",Burr +5,2016-10-10,2016
Wisconsin Senate - Johnson vs. Feingold,Loras,"Feingold 40, Johnson 45",Johnson +5,2016-10-10,2016
Pennsylvania Senate - Toomey vs. McGinty,Susquehanna*,"Toomey 42, McGinty 38",Toomey +4,2016-10-11,2016
Florida Senate - Rubio vs. Murphy,Univ. of North Florida,"Rubio 48, Murphy 41",Rubio +7,2016-10-11,2016
Wisconsin Senate - Johnson vs. Feingold,Marquette,"Feingold 48, Johnson 46",Feingold +2,2016-10-12,2016
Florida Senate - Rubio vs. Murphy,Opinion Savvy,"Rubio 48, Murphy 44",Rubio +4,2016-10-12,2016
Missouri Senate - Blunt vs. Kander,Monmouth*,"Blunt 46, Kander 44",Blunt +2,2016-10-12,2016
North Carolina Senate - Burr vs. Ross,Suffolk*,"Burr 40, Ross 36",Burr +4,2016-10-13,2016
North Carolina Senate - Burr vs. Ross,Emerson,"Burr 45, Ross 43",Burr +2,2016-10-13,2016
North Carolina Senate - Burr vs. Ross,NBC/WSJ/Marist,"Burr 46, Ross 46",Tie,2016-10-13,2016
Utah Senate - Lee vs. Snow,Monmouth,"Lee 60, Snow 31",Lee +29,2016-10-13,2016
Ohio Senate - Portman vs. Strickland,Emerson,"Portman 47, Strickland 30",Portman +17,2016-10-13,2016
Ohio Senate - Portman vs. Strickland,NBC/WSJ/Marist,"Portman 55, Strickland 37",Portman +18,2016-10-13,2016
Georgia Senate: Isakson vs. Barksdale,Landmark Communications*,"Isakson 50, Barksdale 37",Isakson +13,2016-10-13,2016
New Hampshire Senate - Ayotte vs. Hassan,UMass Lowell/7News,"Ayotte 45, Hassan 44",Ayotte +1,2016-10-13,2016
Pennsylvania Senate - Toomey vs. McGinty,Bloomberg,"Toomey 45, McGinty 47",McGinty +2,2016-10-13,2016
Indiana Senate - Young vs. Bayh,Monmouth*,"Bayh 48, Young 42",Bayh +6,2016-10-14,2016
Florida Senate - Rubio vs. Murphy,PPP (D)*,"Rubio 48, Murphy 43",Rubio +5,2016-10-14,2016
Oregon Senate - Wyden vs. Callahan,KATU-TV/SurveyUSA,"Wyden 54, Callahan 32",Wyden +22,2016-10-14,2016
New Hampshire Senate - Ayotte vs. Hassan,WBUR/MassINC,"Ayotte 47, Hassan 47",Tie,2016-10-14,2016
Nevada Senate - Heck vs. Cortez Masto,8 News NOW - Las Vegas,"Cortez Masto 40, Heck 35",Cortez Masto +5,2016-10-15,2016
Florida Senate - Rubio vs. Murphy,Gravis,"Rubio 44, Murphy 36",Rubio +8,2016-10-16,2016
Nevada Senate - Heck vs. Cortez Masto,CBS News/YouGov,"Cortez Masto 39, Heck 39",Tie,2016-10-16,2016
Colorado Senate - Glenn vs. Bennet,Gravis,"Bennet 48, Glenn 38",Bennet +10,2016-10-16,2016
California Senate - Harris vs. Sanchez,KABC/SurveyUSA,"Harris 45, Sanchez 24",Harris +21,2016-10-17,2016
Nevada Senate - Heck vs. Cortez Masto,CNN/ORC,"Cortez Masto 52, Heck 45",Cortez Masto +7,2016-10-17,2016
Ohio Senate - Portman vs. Strickland,CNN/ORC,"Portman 56, Strickland 40",Portman +16,2016-10-17,2016
North Carolina Senate - Burr vs. Ross,CNN/ORC,"Burr 48, Ross 47",Burr +1,2016-10-17,2016
Nevada Senate - Heck vs. Cortez Masto,Monmouth*,"Cortez Masto 42, Heck 45",Heck +3,2016-10-18,2016
Colorado Senate - Glenn vs. Bennet,Magellan Strategies (R)*,"Bennet 47, Glenn 32",Bennet +15,2016-10-18,2016
Colorado Senate - Glenn vs. Bennet,Quinnipiac,"Bennet 56, Glenn 38",Bennet +18,2016-10-18,2016
Pennsylvania Senate - Toomey vs. McGinty,Quinnipiac,"Toomey 49, McGinty 45",Toomey +4,2016-10-18,2016
Florida Senate - Rubio vs. Murphy,Quinnipiac,"Rubio 49, Murphy 47",Rubio +2,2016-10-18,2016
Wisconsin Senate - Johnson vs. Feingold,WPR/St. Norbert,"Feingold 52, Johnson 40",Feingold +12,2016-10-18,2016
Ohio Senate - Portman vs. Strickland,Quinnipiac,"Portman 54, Strickland 41",Portman +13,2016-10-18,2016
Pennsylvania Senate - Toomey vs. McGinty,Emerson,"Toomey 46, McGinty 43",Toomey +3,2016-10-19,2016
New Hampshire Senate - Ayotte vs. Hassan,Emerson,"Ayotte 45, Hassan 45",Tie,2016-10-19,2016
Missouri Senate - Blunt vs. Kander,Emerson,"Blunt 44, Kander 44",Tie,2016-10-19,2016
North Carolina Senate - Burr vs. Ross,Civitas (R)*,"Burr 45, Ross 37",Burr +8,2016-10-19,2016
North Carolina Senate - Burr vs. Ross,SurveyUSA*,"Burr 45, Ross 43",Burr +2,2016-10-19,2016
Wisconsin Senate - Johnson vs. Feingold,Monmouth*,"Feingold 52, Johnson 44",Feingold +8,2016-10-19,2016
Vermont Senate - Milne vs. Leahy,Vermont Public Radio*,"Leahy 59, Milne 22",Leahy +37,2016-10-19,2016
New York Senate - Long vs. Schumer,Siena,"Schumer 66, Long 27",Schumer +39,2016-10-19,2016
Kansas Senate - Moran vs. Wiesner,KSN News/SurveyUSA*,"Moran 56, Wiesner 31",Moran +25,2016-10-19,2016
Ohio Senate - Portman vs. Strickland,Suffolk*,"Portman 46, Strickland 31",Portman +15,2016-10-20,2016
Louisiana Senate - Open Primary,FOX 8/Mason-Dixon,"Kennedy 24, Campbell 19, Fayard 12, Boustany 11, Fleming 10, Duke 5",Kennedy +5,2016-10-20,2016
Utah Senate - Lee vs. Snow,Heat Street/Rasmussen*,"Lee 57, Snow 25",Lee +32,2016-10-20,2016
New Hampshire Senate - Ayotte vs. Hassan,WMUR/UNH,"Ayotte 39, Hassan 48",Hassan +9,2016-10-20,2016
Florida Senate - Rubio vs. Murphy,FOX 13/Opinion Savvy,"Rubio 46, Murphy 46",Tie,2016-10-21,2016
Indiana Senate - Young vs. Bayh,WISH-TV,"Bayh 49, Young 43",Bayh +6,2016-10-21,2016
Georgia Senate: Isakson vs. Barksdale,FOX 5/Opinion Savvy*,"Isakson 51, Barksdale 42",Isakson +9,2016-10-21,2016
Florida Senate - Rubio vs. Murphy,CBS News/YouGov,"Rubio 44, Murphy 42",Rubio +2,2016-10-23,2016
North Carolina Senate - Burr vs. Ross,Monmouth*,"Burr 49, Ross 43",Burr +6,2016-10-24,2016
North Carolina Senate - Burr vs. Ross,PPP (D)*,"Burr 42, Ross 41",Burr +1,2016-10-24,2016
Idaho Senate - Crapo vs. Sturgill,Emerson,"Crapo 57, Sturgill 24",Crapo +33,2016-10-25,2016
Arkansas Senate - Boozman vs. Eldridge,Talk Business/Hendrix College*,"Boozman 52, Eldridge 34",Boozman +18,2016-10-25,2016
Indiana Senate - Young vs. Bayh,Gravis*,"Bayh 39, Young 37",Bayh +2,2016-10-25,2016
Nevada Senate - Heck vs. Cortez Masto,Las Vegas Review-Journal,"Cortez Masto 45, Heck 44",Cortez Masto +1,2016-10-25,2016
Nevada Senate - Heck vs. Cortez Masto,KTNV/Rasmussen,"Cortez Masto 43, Heck 41",Cortez Masto +2,2016-10-25,2016
North Carolina Senate - Burr vs. Ross,NY Times/Siena,"Burr 46, Ross 47",Ross +1,2016-10-25,2016
New Hampshire Senate - Ayotte vs. Hassan,UMass Amherst/WBZ*,"Ayotte 48, Hassan 44",Ayotte +4,2016-10-25,2016
Arizona Senate - McCain vs. Kirkpatrick,Monmouth*,"McCain 50, Kirkpatrick 40",McCain +10,2016-10-25,2016
Florida Senate - Rubio vs. Murphy,Bloomberg,"Rubio 51, Murphy 41",Rubio +10,2016-10-26,2016
New Hampshire Senate - Ayotte vs. Hassan,Monmouth*,"Ayotte 46, Hassan 46",Tie,2016-10-26,2016
Florida Senate - Rubio vs. Murphy,Bay News 9/SurveyUSA,"Rubio 45, Murphy 41",Rubio +4,2016-10-26,2016
New Hampshire Senate - Ayotte vs. Hassan,NBC/WSJ/Marist,"Ayotte 48, Hassan 47",Ayotte +1,2016-10-26,2016
Iowa Senate - Grassley vs. Judge,Quinnipiac,"Grassley 56, Judge 38",Grassley +18,2016-10-28,2016
Georgia Senate: Isakson vs. Barksdale,Quinnipiac,"Isakson 54, Barksdale 40",Isakson +14,2016-10-28,2016
North Carolina Senate - Burr vs. Ross,Quinnipiac,"Burr 48, Ross 47",Burr +1,2016-10-28,2016
New Hampshire Senate - Ayotte vs. Hassan,Emerson,"Ayotte 50, Hassan 44",Ayotte +6,2016-10-28,2016
Missouri Senate - Blunt vs. Kander,St. Louis Post-Dispatch,"Blunt 47, Kander 46",Blunt +1,2016-10-28,2016
Pennsylvania Senate - Toomey vs. McGinty,Emerson,"McGinty 45, Toomey 43",McGinty +2,2016-10-28,2016
Nevada Senate - Heck vs. Cortez Masto,Gravis,"Heck 44, Cortez Masto 50",Cortez Masto +6,2016-10-28,2016
Florida Senate - Rubio vs. Murphy,Emerson,"Rubio 49, Murphy 47",Rubio +2,2016-10-29,2016
Ohio Senate - Portman vs. Strickland,Emerson,"Portman 49, Strickland 35",Portman +14,2016-10-29,2016
North Carolina Senate - Burr vs. Ross,Emerson,"Burr 48, Ross 44",Burr +4,2016-10-29,2016
Nevada Senate - Heck vs. Cortez Masto,Emerson,"Heck 48, Cortez Masto 44",Heck +4,2016-10-29,2016
Wisconsin Senate - Johnson vs. Feingold,Emerson,"Feingold 49, Johnson 44",Feingold +5,2016-10-29,2016
Pennsylvania Senate - Toomey vs. McGinty,Morning Call,"McGinty 41, Toomey 41",Tie,2016-10-29,2016
Louisiana Senate - Open Primary,University of New Orleans,"Kennedy 22, Campbell 15, Boustany 15, Fayard 10, Fleming 11, Maness 4",Kennedy +7,2016-10-30,2016
North Carolina Senate - Burr vs. Ross,CBS News/YouGov,"Burr 44, Ross 44",Tie,2016-10-30,2016
North Carolina Senate - Burr vs. Ross,Gravis,"Burr 45, Ross 48",Ross +3,2016-10-30,2016
North Carolina Senate - Burr vs. Ross,NBC/WSJ/Marist,"Burr 48, Ross 48",Tie,2016-10-30,2016
Colorado Senate - Glenn vs. Bennet,CBS News/YouGov,"Bennet 46, Glenn 41",Bennet +5,2016-10-30,2016
Florida Senate - Rubio vs. Murphy,Gravis,"Rubio 46, Murphy 46",Tie,2016-10-30,2016
Florida Senate - Rubio vs. Murphy,NBC/WSJ/Marist,"Rubio 51, Murphy 43",Rubio +8,2016-10-30,2016
Arizona Senate - McCain vs. Kirkpatrick,CBS News/YouGov,"McCain 43, Kirkpatrick 38",McCain +5,2016-10-30,2016
South Dakota Senate - Thune vs. Williams,Nielson Brothers,"Thune 54, Williams 35",Thune +19,2016-10-31,2016
New Hampshire Senate - Ayotte vs. Hassan,WMUR/UNH,"Ayotte 44, Hassan 46",Hassan +2,2016-10-31,2016
Pennsylvania Senate - Toomey vs. McGinty,Gravis,"McGinty 45, Toomey 41",McGinty +4,2016-10-31,2016
Indiana Senate - Young vs. Bayh,Monmouth*,"Young 45, Bayh 45",Tie,2016-10-31,2016
Illinois Senate - Kirk vs. Duckworth,Emerson,"Duckworth 54, Kirk 36",Duckworth +18,2016-11-01,2016
Missouri Senate - Blunt vs. Kander,Monmouth*,"Blunt 47, Kander 46",Blunt +1,2016-11-01,2016
Pennsylvania Senate - Toomey vs. McGinty,Franklin & Marshall*,"McGinty 47, Toomey 35",McGinty +12,2016-11-01,2016
North Carolina Senate - Burr vs. Ross,Elon*,"Burr 45, Ross 42",Burr +3,2016-11-01,2016
Kentucky Senate - Paul vs. Gray,Western Kentucky Univ.,"Paul 55, Gray 39",Paul +16,2016-11-01,2016
Florida Senate - Rubio vs. Murphy,CNN/ORC,"Rubio 49, Murphy 48",Rubio +1,2016-11-02,2016
Wisconsin Senate - Johnson vs. Feingold,Marquette*,"Feingold 45, Johnson 44",Feingold +1,2016-11-02,2016
North Carolina Senate - Burr vs. Ross,WRAL-TV/SurveyUSA*,"Burr 49, Ross 43",Burr +6,2016-11-02,2016
Georgia Senate: Isakson vs. Barksdale,Emerson,"Isakson 48, Barksdale 40",Isakson +8,2016-11-02,2016
Colorado Senate - Glenn vs. Bennet,Emerson,"Bennet 47, Glenn 42",Bennet +5,2016-11-02,2016
Arizona Senate - McCain vs. Kirkpatrick,Emerson,"McCain 46, Kirkpatrick 40",McCain +6,2016-11-02,2016
Arizona Senate - McCain vs. Kirkpatrick,CNN/ORC,"McCain 54, Kirkpatrick 41",McCain +13,2016-11-02,2016
Pennsylvania Senate - Toomey vs. McGinty,Monmouth,"McGinty 47, Toomey 44",McGinty +3,2016-11-02,2016
Pennsylvania Senate - Toomey vs. McGinty,Susquehanna,"McGinty 47, Toomey 41",McGinty +6,2016-11-02,2016
Nevada Senate - Heck vs. Cortez Masto,8 News NOW - Las Vegas*,"Heck 43, Cortez Masto 45",Cortez Masto +2,2016-11-02,2016
Pennsylvania Senate - Toomey vs. McGinty,CNN/ORC,"McGinty 51, Toomey 46",McGinty +5,2016-11-02,2016
Nevada Senate - Heck vs. Cortez Masto,CNN/ORC,"Heck 49, Cortez Masto 47",Heck +2,2016-11-02,2016
Missouri Senate - Blunt vs. Kander,Emerson,"Blunt 45, Kander 45",Tie,2016-11-02,2016
Missouri Senate - Blunt vs. Kander,Remington Research (R)*,"Blunt 48, Kander 44",Blunt +4,2016-11-02,2016
Nevada Senate - Heck vs. Cortez Masto,CNN/ORC,"Cortez Masto 47, Heck 49",Heck +2,2016-11-02,2016
Pennsylvania Senate - Toomey vs. McGinty,Quinnipiac,"McGinty 48, Toomey 47",McGinty +1,2016-11-03,2016
Florida Senate - Rubio vs. Murphy,Quinnipiac,"Rubio 50, Murphy 44",Rubio +6,2016-11-03,2016
New Hampshire Senate - Ayotte vs. Hassan,Boston Globe/Suffolk*,"Ayotte 44, Hassan 42",Ayotte +2,2016-11-03,2016
North Carolina Senate - Burr vs. Ross,Quinnipiac,"Burr 45, Ross 49",Ross +4,2016-11-03,2016
Ohio Senate - Portman vs. Strickland,Quinnipiac,"Portman 56, Strickland 38",Portman +18,2016-11-03,2016
Colorado Senate - Glenn vs. Bennet,University of Denver,"Bennet 48, Glenn 40",Bennet +8,2016-11-03,2016
Arizona Senate - McCain vs. Kirkpatrick,NBC/WSJ/Marist,"McCain 55, Kirkpatrick 39",McCain +16,2016-11-03,2016
Georgia Senate: Isakson vs. Barksdale,NBC/WSJ/Marist*,"Isakson 48, Barksdale 37",Isakson +11,2016-11-03,2016
Utah Senate - Lee vs. Snow,Monmouth,"Lee 61, Snow 28",Lee +33,2016-11-03,2016
Utah Senate - Lee vs. Snow,Heat Street/Rasmussen,"Lee 59, Snow 27",Lee +32,2016-11-03,2016
New Hampshire Senate - Ayotte vs. Hassan,WBUR/MassINC,"Ayotte 51, Hassan 45",Ayotte +6,2016-11-03,2016
Pennsylvania Senate - Toomey vs. McGinty,Harper (R)*,"McGinty 44, Toomey 44",Tie,2016-11-04,2016
Kansas Senate - Moran vs. Wiesner,Fort Hays St. University,"Moran 77, Wiesner 13",Moran +64,2016-11-04,2016
California Senate - Harris vs. Sanchez,LA Times/USC,"Harris 48, Sanchez 31",Harris +17,2016-11-04,2016
Georgia Senate: Isakson vs. Barksdale,WSB-TV/Landmark*,"Isakson 50, Barksdale 40",Isakson +10,2016-11-04,2016
Georgia Senate: Isakson vs. Barksdale,Opinion Savvy*,"Isakson 50, Barksdale 39",Isakson +11,2016-11-04,2016
New Hampshire Senate - Ayotte vs. Hassan,UMass Lowell/7News,"Ayotte 46, Hassan 47",Hassan +1,2016-11-04,2016
New Hampshire Senate - Ayotte vs. Hassan,Gravis,"Ayotte 46, Hassan 44",Ayotte +2,2016-11-04,2016
Indiana Senate - Young vs. Bayh,WTHR/Howey Politics*,"Young 46, Bayh 41",Young +5,2016-11-04,2016
Indiana Senate - Young vs. Bayh,Gravis*,"Young 37, Bayh 40",Bayh +3,2016-11-04,2016
Iowa Senate - Grassley vs. Judge,Emerson,"Grassley 60, Judge 32",Grassley +28,2016-11-04,2016
Colorado Senate - Glenn vs. Bennet,PPP (D)*,"Bennet 50, Glenn 40",Bennet +10,2016-11-04,2016
Colorado Senate - Glenn vs. Bennet,Keating (D),"Bennet 49, Glenn 38",Bennet +11,2016-11-04,2016
Wisconsin Senate - Johnson vs. Feingold,Loras*,"Feingold 47, Johnson 45",Feingold +2,2016-11-04,2016
California Senate - Harris vs. Sanchez,Field,"Harris 47, Sanchez 23",Harris +24,2016-11-05,2016
Iowa Senate - Grassley vs. Judge,Loras*,"Grassley 53, Judge 37",Grassley +16,2016-11-05,2016
Iowa Senate - Grassley vs. Judge,Des Moines Register,"Grassley 56, Judge 33",Grassley +23,2016-11-05,2016
Pennsylvania Senate - Toomey vs. McGinty,Morning Call,"McGinty 42, Toomey 43",Toomey +1,2016-11-05,2016
Pennsylvania Senate - Toomey vs. McGinty,Gravis,"McGinty 45, Toomey 43",McGinty +2,2016-11-05,2016
Colorado Senate - Glenn vs. Bennet,Gravis,"Bennet 47, Glenn 44",Bennet +3,2016-11-05,2016
New York Senate - Long vs. Schumer,Siena,"Schumer 67, Long 25",Schumer +42,2016-11-06,2016
Ohio Senate - Portman vs. Strickland,Columbus Dispatch*,"Portman 58, Strickland 37",Portman +21,2016-11-06,2016
Florida Senate - Rubio vs. Murphy,CBS News/YouGov,"Rubio 47, Murphy 44",Rubio +3,2016-11-06,2016
Ohio Senate - Portman vs. Strickland,CBS News/YouGov,"Portman 52, Strickland 39",Portman +13,2016-11-06,2016
Florida Senate - Rubio vs. Murphy,Gravis,"Rubio 47, Murphy 46",Rubio +1,2016-11-07,2016
Georgia Senate: Isakson vs. Barksdale,Landmark/Rosetta Stone*,"Isakson 52, Barksdale 41",Isakson +11,2016-11-07,2016
Missouri Senate - Blunt vs. Kander,Emerson,"Blunt 45, Kander 46",Kander +1,2016-11-07,2016
New Hampshire Senate - Ayotte vs. Hassan,WMUR/UNH,"Ayotte 45, Hassan 49",Hassan +4,2016-11-07,2016
New Hampshire Senate - Ayotte vs. Hassan,Emerson,"Ayotte 49, Hassan 46",Ayotte +3,2016-11-07,2016
Ohio Senate - Portman vs. Strickland,Emerson,"Portman 49, Strickland 28",Portman +21,2016-11-07,2016
North Carolina Senate - Burr vs. Ross,Gravis,"Burr 48, Ross 47",Burr +1,2016-11-07,2016
Nevada Senate - Heck vs. Cortez Masto,Emerson,"Cortez Masto 48, Heck 47",Cortez Masto +1,2016-11-07,2016
North Carolina Senate - Burr vs. Ross,Quinnipiac,"Burr 47, Ross 47",Tie,2016-11-07,2016
North Carolina Senate - Burr vs. Ross,NY Times/Siena,"Burr 46, Ross 45",Burr +1,2016-11-07,2016
Florida Senate - Rubio vs. Murphy,Quinnipiac,"Rubio 50, Murphy 43",Rubio +7,2016-11-07,2016
Michigan Senate - Kid Rock vs. Stabenow,Trafalgar Group (R),"Stabenow 46, Kid Rock 49",Kid Rock +3,2017-07-28,2017
Michigan Senate - Kid Rock vs. Stabenow,Target Insyght,"Stabenow 50, Kid Rock 42",Stabenow +8,2017-08-02,2017
Alabama Senate Run-Off Election - Moore vs. Strange,RRH/PMI (R),"Moore 34, Strange 32",Moore +2,2017-08-07,2017
Alabama Senate Special Election - Republican Primary,Trafalgar Group (R),"Moore 35, Strange 23, Brooks 20, Pittman 6, Brinson 4",Moore +12,2017-08-11,2017
Alabama Senate Special Election - Republican Primary,Trafalgar Group (R),"Moore 38, Strange 24, Brooks 17, Pittman 6, Brinson 6",Moore +14,2017-08-14,2017
Alabama Senate Special Election - Republican Primary,Emerson,"Moore 29, Strange 32, Brooks 15, Pittman 10, Brinson",Strange +3,2017-08-14,2017
Alabama Senate Run-Off Election - Moore vs. Strange,JMC Analytics,"Moore 51, Strange 32",Moore +19,2017-08-20,2017
Alabama Senate Run-Off Election - Moore vs. Strange,Opinion Savvy,"Moore 50, Strange 32",Moore +18,2017-08-23,2017
Nevada Senate - Republican Primary,JMC Analytics,"Tarkanian 39, Heller 31",Tarkanian +8,2017-08-26,2017
Arizona Senate - Republican Primary,JMC Analytics,"Ward 47, Flake 21, Tutora 3",Ward +26,2017-08-28,2017
Alabama Senate Run-Off Election - Moore vs. Strange,Harper (R),"Moore 47, Strange 45",Moore +2,2017-08-29,2017
West Virginia Senate - Morrisey vs. Manchin,MetroNews,"Manchin 51, Morrisey 37",Manchin +14,2017-09-01,2017
West Virginia Senate - Jenkins vs. Manchin,MetroNews,"Manchin 50, Jenkins 40",Manchin +10,2017-09-01,2017
Alabama Senate Run-Off Election - Moore vs. Strange,Emerson,"Moore 40, Strange 26",Moore +14,2017-09-11,2017
Alabama Senate Special Election - Moore vs. Jones,Emerson,"Moore 44, Jones 40",Moore +4,2017-09-11,2017
Alabama Senate Run-Off Election - Moore vs. Strange,JMC Analytics,"Moore 50, Strange 42",Moore +8,2017-09-18,2017
Alabama Senate Run-Off Election - Moore vs. Strange,WBRC-TV/Strategy Research,"Moore 53, Strange 47",Moore +6,2017-09-19,2017
Michigan Senate - Kid Rock vs. Stabenow,MRG,"Stabenow 52, Kid Rock 34",Stabenow +18,2017-09-20,2017
Alabama Senate Run-Off Election - Moore vs. Strange,FOX 10/Strategy Research,"Moore 54, Strange 46",Moore +8,2017-09-21,2017
Alabama Senate Run-Off Election - Moore vs. Strange,0ptimus,"Moore 55, Strange 45",Moore +10,2017-09-24,2017
Alabama Senate Run-Off Election - Moore vs. Strange,Gravis,"Moore 48, Strange 40",Moore +8,2017-09-24,2017
Alabama Senate Run-Off Election - Moore vs. Strange,Emerson,"Moore 50, Strange 40",Moore +10,2017-09-24,2017
Alabama Senate Run-Off Election - Moore vs. Strange,Trafalgar Group (R),"Moore 57, Strange 41",Moore +16,2017-09-25,2017
Alabama Senate Special Election - Moore vs. Jones,Emerson,"Moore 52, Jones 30",Moore +22,2017-09-25,2017
Alabama Senate Special Election - Moore vs. Jones,Opinion Savvy,"Moore 50, Jones 45",Moore +5,2017-09-29,2017
