Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
Direction of Country,Reuters/Ipsos,"Right Direction 28, Wrong Track 59",Wrong Track +31,2015-07-30,2015
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 28, Wrong Track 65",Wrong Track +37,2015-08-03,2015
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 66",Wrong Track +38,2015-08-03,2015
Direction of Country,Reuters/Ipsos,"Right Direction 29, Wrong Track 56",Wrong Track +27,2015-08-06,2015
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2015-08-10,2015
Direction of Country,Reuters/Ipsos,"Right Direction 27, Wrong Track 58",Wrong Track +31,2015-08-14,2015
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 64",Wrong Track +36,2015-08-17,2015
Direction of Country,The Economist/YouGov,"Right Direction 31, Wrong Track 61",Wrong Track +30,2015-08-21,2015
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 59",Wrong Track +33,2015-08-21,2015
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 66",Wrong Track +39,2015-08-24,2015
Direction of Country,Reuters/Ipsos,"Right Direction 23, Wrong Track 60",Wrong Track +37,2015-08-28,2015
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 68",Wrong Track +42,2015-08-31,2015
Direction of Country,Reuters/Ipsos,"Right Direction 27, Wrong Track 56",Wrong Track +29,2015-09-04,2015
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 64",Wrong Track +36,2015-09-04,2015
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 66",Wrong Track +39,2015-09-07,2015
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 59",Wrong Track +34,2015-09-11,2015
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2015-09-14,2015
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 61",Wrong Track +32,2015-09-17,2015
Direction of Country,Reuters/Ipsos,"Right Direction 28, Wrong Track 57",Wrong Track +29,2015-09-17,2015
Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 69",Wrong Track +44,2015-09-21,2015
Direction of Country,Bloomberg,"Right Direction 24, Wrong Track 66",Wrong Track +42,2015-09-24,2015
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 59",Wrong Track +34,2015-09-25,2015
Direction of Country,National Journal,"Right Direction 23, Wrong Track 62",Wrong Track +39,2015-09-26,2015
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 30, Wrong Track 62",Wrong Track +32,2015-09-28,2015
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 67",Wrong Track +41,2015-09-28,2015
Direction of Country,USA Today/Suffolk,"Right Direction 27, Wrong Track 60",Wrong Track +33,2015-09-30,2015
Direction of Country,Reuters/Ipsos,"Right Direction 27, Wrong Track 56",Wrong Track +29,2015-10-02,2015
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 63",Wrong Track +34,2015-10-02,2015
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 67",Wrong Track +41,2015-10-05,2015
Direction of Country,Reuters/Ipsos,"Right Direction 22, Wrong Track 63",Wrong Track +41,2015-10-08,2015
Direction of Country,CBS News,"Right Direction 30, Wrong Track 63",Wrong Track +33,2015-10-11,2015
Direction of Country,Rasmussen Reports,"Right Direction 24, Wrong Track 69",Wrong Track +45,2015-10-12,2015
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 57",Wrong Track +31,2015-10-15,2015
Direction of Country,The Economist/YouGov,"Right Direction 27, Wrong Track 65",Wrong Track +38,2015-10-16,2015
Direction of Country,Rasmussen Reports,"Right Direction 24, Wrong Track 69",Wrong Track +45,2015-10-19,2015
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 25, Wrong Track 64",Wrong Track +39,2015-10-20,2015
Direction of Country,Reuters/Ipsos,"Right Direction 23, Wrong Track 61",Wrong Track +38,2015-10-23,2015
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 65",Wrong Track +38,2015-10-26,2015
Direction of Country,Associated Press-GfK,"Right Direction 36, Wrong Track 63",Wrong Track +27,2015-10-28,2015
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 66",Wrong Track +40,2015-10-28,2015
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 59",Wrong Track +35,2015-10-29,2015
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 65",Wrong Track +38,2015-11-02,2015
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 27, Wrong Track 64",Wrong Track +37,2015-11-03,2015
Direction of Country,Monmouth,"Right Direction 21, Wrong Track 68",Wrong Track +47,2015-11-05,2015
Direction of Country,Reuters/Ipsos,"Right Direction 27, Wrong Track 58",Wrong Track +31,2015-11-05,2015
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 66",Wrong Track +39,2015-11-09,2015
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 65",Wrong Track +37,2015-11-11,2015
Direction of Country,CBS News/NYT,"Right Direction 33, Wrong Track 62",Wrong Track +29,2015-11-12,2015
Direction of Country,McClatchy/Marist,"Right Direction 35, Wrong Track 60",Wrong Track +25,2015-11-15,2015
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 59",Wrong Track +33,2015-11-16,2015
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",Wrong Track +39,2015-11-16,2015
Direction of Country,Bloomberg,"Right Direction 23, Wrong Track 69",Wrong Track +46,2015-11-18,2015
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 61",Wrong Track +37,2015-11-19,2015
Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 67",Wrong Track +42,2015-11-23,2015
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 65",Wrong Track +39,2015-11-24,2015
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 64",Wrong Track +40,2015-11-25,2015
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 63",Wrong Track +35,2015-11-30,2015
Direction of Country,Reuters/Ipsos,"Right Direction 27, Wrong Track 58",Wrong Track +31,2015-12-03,2015
Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 68",Wrong Track +43,2015-12-07,2015
Direction of Country,The Economist/YouGov,"Right Direction 25, Wrong Track 67",Wrong Track +42,2015-12-09,2015
Direction of Country,CBS/NY Times,"Right Direction 24, Wrong Track 68",Wrong Track +44,2015-12-10,2015
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 66",Wrong Track +42,2015-12-10,2015
Direction of Country,Rasmussen Reports,"Right Direction 24, Wrong Track 68",Wrong Track +44,2015-12-14,2015
Direction of Country,USA Today/Suffolk,"Right Direction 22, Wrong Track 64",Wrong Track +42,2015-12-14,2015
Direction of Country,NBC/WSJ,"Right Direction 20, Wrong Track 70",Wrong Track +50,2015-12-14,2015
Direction of Country,Reuters/Ipsos,"Right Direction 23, Wrong Track 62",Wrong Track +39,2015-12-17,2015
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 66",Wrong Track +40,2015-12-21,2015
Direction of Country,Reuters/Ipsos,"Right Direction 23, Wrong Track 60",Wrong Track +37,2015-12-23,2015
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 66",Wrong Track +40,2015-12-28,2015
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 66",Wrong Track +40,2015-12-28,2015
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 60",Wrong Track +34,2015-12-30,2015
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 67",Wrong Track +41,2016-01-04,2016
Direction of Country,Reuters/Ipsos,"Right Direction 27, Wrong Track 59",Wrong Track +32,2016-01-07,2016
Direction of Country,The Economist/YouGov,"Right Direction 27, Wrong Track 65",Wrong Track +38,2016-01-08,2016
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",Wrong Track +39,2016-01-11,2016
Direction of Country,CBS/NY Times,"Right Direction 27, Wrong Track 65",Wrong Track +38,2016-01-12,2016
Direction of Country,Reuters/Ipsos,"Right Direction 29, Wrong Track 59",Wrong Track +30,2016-01-14,2016
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 63",Wrong Track +33,2016-01-18,2016
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 29, Wrong Track 63",Wrong Track +34,2016-01-18,2016
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 62",Wrong Track +36,2016-01-21,2016
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 65",Wrong Track +37,2016-01-21,2016
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 63",Wrong Track +31,2016-01-25,2016
Direction of Country,ABC News/Wash Post,"Right Direction 36, Wrong Track 60",Wrong Track +24,2016-01-26,2016
Direction of Country,National Journal,"Right Direction 25, Wrong Track 62",Wrong Track +37,2016-01-27,2016
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 62",Wrong Track +31,2016-02-01,2016
Direction of Country,The Economist/YouGov,"Right Direction 27, Wrong Track 66",Wrong Track +39,2016-02-02,2016
Direction of Country,Reuters/Ipsos,"Right Direction 29, Wrong Track 60",Wrong Track +31,2016-02-04,2016
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 65",Wrong Track +37,2016-02-08,2016
Direction of Country,Reuters/Ipsos,"Right Direction 23, Wrong Track 63",Wrong Track +40,2016-02-11,2016
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 64",Wrong Track +34,2016-02-15,2016
Direction of Country,USA Today/Suffolk,"Right Direction 27, Wrong Track 63",Wrong Track +36,2016-02-17,2016
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 63",Wrong Track +38,2016-02-18,2016
Direction of Country,CBS News,"Right Direction 31, Wrong Track 62",Wrong Track +31,2016-02-18,2016
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 66",Wrong Track +38,2016-02-18,2016
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 63",Wrong Track +33,2016-02-22,2016
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 61",Wrong Track +36,2016-02-25,2016
Direction of Country,Associated Press-GfK,"Right Direction 32, Wrong Track 68",Wrong Track +36,2016-02-26,2016
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 68",Wrong Track +42,2016-03-01,2016
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 62",Wrong Track +36,2016-03-03,2016
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 65",Wrong Track +37,2016-03-07,2016
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 63",Wrong Track +38,2016-03-10,2016
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 67",Wrong Track +40,2016-03-14,2016
Direction of Country,The Economist/YouGov,"Right Direction 25, Wrong Track 65",Wrong Track +40,2016-03-15,2016
Direction of Country,Reuters/Ipsos,"Right Direction 21, Wrong Track 65",Wrong Track +44,2016-03-17,2016
Direction of Country,CBS News/NY Times,"Right Direction 32, Wrong Track 61",Wrong Track +29,2016-03-21,2016
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 67",Wrong Track +41,2016-03-21,2016
Direction of Country,Reuters/Ipsos,"Right Direction 23, Wrong Track 64",Wrong Track +41,2016-03-24,2016
Direction of Country,Bloomberg,"Right Direction 27, Wrong Track 65",Wrong Track +38,2016-03-24,2016
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 67",Wrong Track +40,2016-04-11,2016
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 65",Wrong Track +39,2016-04-12,2016
Direction of Country,CBS News,"Right Direction 30, Wrong Track 66",Wrong Track +36,2016-04-14,2016
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 63",Wrong Track +38,2016-04-14,2016
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 24, Wrong Track 70",Wrong Track +46,2016-04-18,2016
Direction of Country,Rasmussen Reports,"Right Direction 24, Wrong Track 69",Wrong Track +45,2016-04-18,2016
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 61",Wrong Track +36,2016-04-21,2016
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 67",Wrong Track +41,2016-04-25,2016
Direction of Country,USA Today/Suffolk,"Right Direction 28, Wrong Track 61",Wrong Track +33,2016-04-25,2016
Direction of Country,GWU/Battleground,"Right Direction 26, Wrong Track 66",Wrong Track +40,2016-04-25,2016
Direction of Country,The Economist/YouGov,"Right Direction 25, Wrong Track 66",Wrong Track +41,2016-04-27,2016
Direction of Country,Reuters/Ipsos,"Right Direction 23, Wrong Track 65",Wrong Track +42,2016-04-29,2016
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 65",Wrong Track +36,2016-05-02,2016
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 60",Wrong Track +34,2016-05-06,2016
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 67",Wrong Track +40,2016-05-09,2016
Direction of Country,The Economist/YouGov,"Right Direction 23, Wrong Track 68",Wrong Track +45,2016-05-11,2016
Direction of Country,Reuters/Ipsos,"Right Direction 21, Wrong Track 68",Wrong Track +47,2016-05-13,2016
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 68",Wrong Track +41,2016-05-16,2016
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 62",Wrong Track +38,2016-05-19,2016
Direction of Country,CBS News/NY Times,"Right Direction 30, Wrong Track 63",Wrong Track +33,2016-05-19,2016
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 66",Wrong Track +39,2016-05-23,2016
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 67",Wrong Track +41,2016-05-25,2016
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 60",Wrong Track +34,2016-05-26,2016
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 66",Wrong Track +38,2016-05-31,2016
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 64",Wrong Track +40,2016-06-03,2016
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 66",Wrong Track +39,2016-06-06,2016
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 63",Wrong Track +38,2016-06-09,2016
Direction of Country,Economist/YouGov,"Right Direction 25, Wrong Track 67",Wrong Track +42,2016-06-10,2016
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 67",Wrong Track +40,2016-06-13,2016
Direction of Country,Bloomberg,"Right Direction 23, Wrong Track 68",Wrong Track +45,2016-06-14,2016
Direction of Country,CBS News,"Right Direction 33, Wrong Track 63",Wrong Track +30,2016-06-15,2016
Direction of Country,Reuters/Ipsos,"Right Direction 21, Wrong Track 65",Wrong Track +44,2016-06-16,2016
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 67",Wrong Track +41,2016-06-20,2016
Direction of Country,Economist/YouGov,"Right Direction 28, Wrong Track 63",Wrong Track +35,2016-06-22,2016
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 64",Wrong Track +40,2016-06-23,2016
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 21, Wrong Track 71",Wrong Track +50,2016-06-27,2016
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 66",Wrong Track +37,2016-06-27,2016
Direction of Country,Economist/YouGov,"Right Direction 23, Wrong Track 69",Wrong Track +46,2016-06-30,2016
Direction of Country,Reuters/Ipsos,"Right Direction 20, Wrong Track 65",Wrong Track +45,2016-06-30,2016
Direction of Country,USA Today/Suffolk,"Right Direction 27, Wrong Track 60",Wrong Track +33,2016-07-04,2016
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 65",Wrong Track +36,2016-07-05,2016
Direction of Country,Economist/YouGov,"Right Direction 27, Wrong Track 65",Wrong Track +38,2016-07-06,2016
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 64",Wrong Track +40,2016-07-07,2016
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 68",Wrong Track +42,2016-07-11,2016
Direction of Country,Economist/YouGov,"Right Direction 24, Wrong Track 70",Wrong Track +46,2016-07-13,2016
Direction of Country,CBS News/NY Times,"Right Direction 26, Wrong Track 69",Wrong Track +43,2016-07-14,2016
Direction of Country,Associated Press-GfK,"Right Direction 19, Wrong Track 79",Wrong Track +60,2016-07-15,2016
Direction of Country,ABC News/Wash Post,"Right Direction 26, Wrong Track 71",Wrong Track +45,2016-07-17,2016
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 18, Wrong Track 73",Wrong Track +55,2016-07-17,2016
Direction of Country,Economist/YouGov,"Right Direction 22, Wrong Track 69",Wrong Track +47,2016-07-18,2016
Direction of Country,Rasmussen Reports,"Right Direction 21, Wrong Track 72",Wrong Track +51,2016-07-18,2016
Direction of Country,McClatchy/Marist,"Right Direction 25, Wrong Track 68",Wrong Track +43,2016-07-19,2016
Direction of Country,Reuters/Ipsos,"Right Direction 19, Wrong Track 67",Wrong Track +48,2016-07-21,2016
Direction of Country,Economist/YouGov,"Right Direction 25, Wrong Track 67",Wrong Track +42,2016-07-25,2016
Direction of Country,Rasmussen Reports,"Right Direction 24, Wrong Track 70",Wrong Track +46,2016-07-25,2016
Direction of Country,Reuters/Ipsos,"Right Direction 18, Wrong Track 68",Wrong Track +50,2016-07-29,2016
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 66",Wrong Track +37,2016-08-01,2016
Direction of Country,Economist/YouGov,"Right Direction 27, Wrong Track 64",Wrong Track +37,2016-08-02,2016
Direction of Country,Reuters/Ipsos,"Right Direction 23, Wrong Track 64",Wrong Track +41,2016-08-04,2016
Direction of Country,McClatchy/Marist,"Right Direction 34, Wrong Track 59",Wrong Track +25,2016-08-04,2016
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 32, Wrong Track 62",Wrong Track +30,2016-08-05,2016
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 63",Wrong Track +32,2016-08-08,2016
Direction of Country,Economist/YouGov,"Right Direction 28, Wrong Track 66",Wrong Track +38,2016-08-09,2016
Direction of Country,Monmouth,"Right Direction 32, Wrong Track 64",Wrong Track +32,2016-08-10,2016
Direction of Country,Bloomberg,"Right Direction 25, Wrong Track 68",Wrong Track +43,2016-08-10,2016
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 62",Wrong Track +38,2016-08-11,2016
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 62",Wrong Track +29,2016-08-15,2016
Direction of Country,Economist/YouGov,"Right Direction 27, Wrong Track 64",Wrong Track +37,2016-08-17,2016
Direction of Country,Reuters/Ipsos,"Right Direction 21, Wrong Track 67",Wrong Track +46,2016-08-18,2016
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2016-08-22,2016
Direction of Country,Economist/YouGov,"Right Direction 28, Wrong Track 65",Wrong Track +37,2016-08-24,2016
Direction of Country,Reuters/Ipsos,"Right Direction 21, Wrong Track 66",Wrong Track +45,2016-08-25,2016
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 62",Wrong Track +31,2016-08-29,2016
Direction of Country,Economist/YouGov,"Right Direction 27, Wrong Track 65",Wrong Track +38,2016-08-31,2016
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 63",Wrong Track +39,2016-08-31,2016
Direction of Country,USA Today/Suffolk,"Right Direction 28, Wrong Track 59",Wrong Track +31,2016-09-01,2016
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 65",Wrong Track +37,2016-09-05,2016
Direction of Country,Reuters/Ipsos,"Right Direction 22, Wrong Track 64",Wrong Track +42,2016-09-07,2016
Direction of Country,GWU/Battleground,"Right Direction 27, Wrong Track 66",Wrong Track +39,2016-09-07,2016
Direction of Country,Economist/YouGov,"Right Direction 28, Wrong Track 62",Wrong Track +34,2016-09-07,2016
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 63",Wrong Track +33,2016-09-12,2016
Direction of Country,Economist/YouGov,"Right Direction 24, Wrong Track 67",Wrong Track +43,2016-09-14,2016
Direction of Country,Reuters/Ipsos,"Right Direction 22, Wrong Track 65",Wrong Track +43,2016-09-14,2016
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 63",Wrong Track +32,2016-09-19,2016
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 30, Wrong Track 62",Wrong Track +32,2016-09-21,2016
Direction of Country,Economist/YouGov,"Right Direction 30, Wrong Track 63",Wrong Track +33,2016-09-21,2016
Direction of Country,Reuters/Ipsos,"Right Direction 21, Wrong Track 67",Wrong Track +46,2016-09-21,2016
Direction of Country,Associated Press-GfK,"Right Direction 30, Wrong Track 70",Wrong Track +40,2016-09-22,2016
Direction of Country,McClatchy/Marist,"Right Direction 35, Wrong Track 59",Wrong Track +24,2016-09-23,2016
Direction of Country,Economist/YouGov,"Right Direction 27, Wrong Track 65",Wrong Track +38,2016-09-25,2016
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",Wrong Track +39,2016-09-26,2016
Direction of Country,Bloomberg,"Right Direction 28, Wrong Track 66",Wrong Track +38,2016-09-26,2016
Direction of Country,Reuters/Ipsos,"Right Direction 22, Wrong Track 65",Wrong Track +43,2016-09-28,2016
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 65",Wrong Track +36,2016-10-03,2016
Direction of Country,Economist/YouGov,"Right Direction 30, Wrong Track 63",Wrong Track +33,2016-10-03,2016
Direction of Country,CBS News,"Right Direction 35, Wrong Track 60",Wrong Track +25,2016-10-04,2016
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 64",Wrong Track +39,2016-10-05,2016
Direction of Country,Economist/YouGov,"Right Direction 30, Wrong Track 62",Wrong Track +32,2016-10-09,2016
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 65",Wrong Track +35,2016-10-10,2016
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 65",Wrong Track +40,2016-10-12,2016
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 29, Wrong Track 65",Wrong Track +36,2016-10-16,2016
Direction of Country,CBS News,"Right Direction 26, Wrong Track 67",Wrong Track +41,2016-10-16,2016
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 66",Wrong Track +37,2016-10-17,2016
Direction of Country,GWU/Battleground,"Right Direction 31, Wrong Track 63",Wrong Track +32,2016-10-17,2016
Direction of Country,Economist/YouGov,"Right Direction 31, Wrong Track 62",Wrong Track +31,2016-10-19,2016
Direction of Country,Reuters/Ipsos,"Right Direction 22, Wrong Track 66",Wrong Track +44,2016-10-19,2016
Direction of Country,Bloomberg,"Right Direction 30, Wrong Track 64",Wrong Track +34,2016-10-19,2016
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 63",Wrong Track +32,2016-10-24,2016
Direction of Country,Reuters/Ipsos,"Right Direction 21, Wrong Track 66",Wrong Track +45,2016-10-26,2016
Direction of Country,USA Today/Suffolk,"Right Direction 35, Wrong Track 54",Wrong Track +19,2016-10-26,2016
Direction of Country,Associated Press-GfK,"Right Direction 32, Wrong Track 67",Wrong Track +35,2016-10-26,2016
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 63",Wrong Track +32,2016-10-31,2016
Direction of Country,Economist/YouGov,"Right Direction 30, Wrong Track 63",Wrong Track +33,2016-11-02,2016
Direction of Country,CBS News/NY Times,"Right Direction 35, Wrong Track 61",Wrong Track +26,2016-11-03,2016
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 64",Wrong Track +39,2016-11-03,2016
Direction of Country,McClatchy/Marist,"Right Direction 33, Wrong Track 60",Wrong Track +27,2016-11-04,2016
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 31, Wrong Track 62",Wrong Track +31,2016-11-06,2016
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 63",Wrong Track +33,2016-11-07,2016
Direction of Country,Economist/YouGov,"Right Direction 30, Wrong Track 62",Wrong Track +32,2016-11-07,2016
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 60",Wrong Track +28,2016-11-14,2016
Direction of Country,Reuters/Ipsos,"Right Direction 21, Wrong Track 63",Wrong Track +42,2016-11-17,2016
Direction of Country,Economist/YouGov,"Right Direction 22, Wrong Track 67",Wrong Track +45,2016-11-17,2016
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 58",Wrong Track +25,2016-11-21,2016
Direction of Country,Reuters/Ipsos,"Right Direction 21, Wrong Track 62",Wrong Track +41,2016-11-23,2016
Direction of Country,Economist/YouGov,"Right Direction 24, Wrong Track 60",Wrong Track +36,2016-11-23,2016
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 58",Wrong Track +28,2016-11-28,2016
Direction of Country,Economist/YouGov,"Right Direction 25, Wrong Track 61",Wrong Track +36,2016-12-01,2016
Direction of Country,Reuters/Ipsos,"Right Direction 21, Wrong Track 60",Wrong Track +39,2016-12-01,2016
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 59",Wrong Track +28,2016-12-05,2016
Direction of Country,GWU/Battleground,"Right Direction 28, Wrong Track 58",Wrong Track +30,2016-12-06,2016
Direction of Country,Economist/YouGov,"Right Direction 26, Wrong Track 61",Wrong Track +35,2016-12-06,2016
Direction of Country,Bloomberg,"Right Direction 37, Wrong Track 49",Wrong Track +12,2016-12-07,2016
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 58",Wrong Track +33,2016-12-07,2016
Direction of Country,The Atlantic,"Right Direction 36, Wrong Track 50",Wrong Track +14,2016-12-07,2016
Direction of Country,IBD/TIPP,"Right Direction 38, Wrong Track 59",Wrong Track +21,2016-12-08,2016
Direction of Country,Rasmussen Reports,"Right Direction 35, Wrong Track 55",Wrong Track +20,2016-12-12,2016
Direction of Country,McClatchy/Marist,"Right Direction 31, Wrong Track 64",Wrong Track +33,2016-12-14,2016
Direction of Country,Economist/YouGov,"Right Direction 27, Wrong Track 59",Wrong Track +32,2016-12-14,2016
Direction of Country,Reuters/Ipsos,"Right Direction 27, Wrong Track 55",Wrong Track +28,2016-12-15,2016
Direction of Country,CBS News,"Right Direction 29, Wrong Track 63",Wrong Track +34,2016-12-15,2016
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 56",Wrong Track +23,2016-12-19,2016
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 33, Wrong Track 54",Wrong Track +21,2016-12-19,2016
Direction of Country,USA Today/Suffolk,"Right Direction 37, Wrong Track 46",Wrong Track +9,2016-12-20,2016
Direction of Country,Economist/YouGov,"Right Direction 24, Wrong Track 61",Wrong Track +37,2016-12-20,2016
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 59",Wrong Track +33,2016-12-21,2016
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 56",Wrong Track +23,2016-12-26,2016
Direction of Country,Economist/YouGov,"Right Direction 25, Wrong Track 62",Wrong Track +37,2016-12-27,2016
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 57",Wrong Track +24,2017-01-02,2017
Direction of Country,Economist/YouGov,"Right Direction 26, Wrong Track 60",Wrong Track +34,2017-01-03,2017
